,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.26
1,20,-2.0,199,4000,0.12
2,20,2.0,299,6000,0.3
3,20,-1.0,399,8000,0.28
4,20,0.0,499,10000,0.46
5,20,1.0,599,12000,0.62
6,20,-1.0,699,14000,0.47
7,20,0.0,799,16000,0.53
8,20,0.0,899,18000,0.57
9,20,0.0,999,20000,0.57
10,20,1.0,1099,22000,0.25
11,20,3.0,1199,24000,0.54
12,20,2.0,1299,26000,0.56
13,20,-1.0,1399,28000,0.57
14,20,-2.0,1499,30000,0.74
15,20,0.0,1599,32000,0.78
16,20,0.0,1699,34000,0.94
17,20,0.0,1799,36000,0.87
18,20,0.0,1899,38000,0.75
19,20,1.0,1999,40000,0.9
20,20,2.0,2099,42000,0.88
21,20,-1.0,2199,44000,0.62
22,20,2.0,2299,46000,1.1
23,20,1.0,2399,48000,0.86
24,20,0.0,2499,50000,0.99
25,20,1.0,2599,52000,0.9
26,20,2.0,2699,54000,0.93
27,20,2.0,2799,56000,0.86
28,20,2.0,2899,58000,0.97
29,20,2.0,2999,60000,1.15
30,20,0.0,3099,62000,1.09
31,20,1.0,3199,64000,1.04
32,20,2.0,3299,66000,1.09
33,20,1.0,3399,68000,0.79
34,20,1.0,3499,70000,1.23
35,20,2.0,3599,72000,1.22
36,20,1.0,3699,74000,1.26
37,20,-1.0,3799,76000,1.17
38,20,-1.0,3899,78000,1.24
39,20,-1.0,3999,80000,1.01
40,20,1.0,4099,82000,1.09
41,20,1.0,4199,84000,1.16
42,20,1.0,4299,86000,1.15
43,20,3.0,4399,88000,1.27
44,20,2.0,4499,90000,1.24
45,20,0.0,4599,92000,1.07
46,20,2.0,4699,94000,1.52
47,20,3.0,4799,96000,1.28
48,20,0.0,4899,98000,1.25
49,20,1.0,4999,100000,1.31
